Codigo_Edi;Numero_Alt;AnoC;Numero_Viv;USO;Npot;LCZ.cat;BUFF_RSOL;BUFF_SVF;BUFF_NDVI;BUFF_ACUS;BUFF_ALBED;BUFF_OZONO;perimetro;area;conv;elon;num_vecinos;vol;comp
59;6;1955;12;1;3;2;0.24;0.426;0.21;61.793;0.172;53.018;61.4090484;202.2161;0.997888169;0.820881427;2;4246.5381;0.303680312
60;6;1955;12;1;3;2;0.32;0.501;0.277;61.762;0.152;53.004;61.47323064;203.2529;0.99773188;0.822123893;2;4268.3109;0.302447004
61;6;1955;12;1;3;2;0.24;0.424;0.215;61.804;0.172;53.018;60.88921113;199.62955;0.99785064;0.822577827;2;4192.22055;0.305011012
62;6;1955;12;1;3;2;0.36;0.445;0.285;61.781;0.152;53.01;61.02806312;200.9765;0.998070916;0.823470384;2;4220.5065;0.303657707
63;6;1955;0;1;3;2;0.28;0.467;0.206;61.823;0.174;53.025;61.48701098;202.8679;0.998034854;0.821160815;1;4260.2259;0.303088911
64;6;1955;12;1;3;2;0.4;0.524;0.233;61.799;0.159;53.014;61.52756;203.55355;0.997216856;0.822005228;1;4274.62455;0.302267192
65;1;1969;0;3;3;2;0.64;0.673;0.208;61.77;0.182;52.999;15.70278696;11.8987;0.819308882;0.778713943;0;41.64544999;1.319706099
66;1;1969;0;3;3;2;0.52;0.764;0.243;61.759;0.183;52.999;53.7461328;156.9276;0.99996559;0.826242209;0;549.2466;0.342489994
67;6;1962;12;1;3;2;0.32;0.536;0.204;61.867;0.151;52.992;56.48094232;166.9174;0.967299248;0.8108748;2;3505.2654;0.3383766
68;6;1962;12;1;3;2;0.2;0.366;0.196;61.856;0.145;52.987;56.79761747;168.45385;0.966260525;0.81005645;2;3537.53085;0.337170195
69;6;1962;12;1;3;2;0.32;0.58;0.228;61.863;0.15;52.995;61.48078978;196.01505;0.988238097;0.807253995;2;4116.31605;0.313653415
70;6;1962;12;1;3;2;0.2;0.377;0.201;61.844;0.147;52.987;62.01269836;200.06585;0.988681836;0.808557267;2;4201.38285;0.309961437
71;6;1962;12;1;3;2;0.32;0.523;0.234;61.85;0.154;52.997;60.79935727;198.4366;1;0.821328385;2;4167.1686;0.306391851
72;6;1962;12;1;3;2;0.24;0.396;0.303;61.83;0.15;52.99;61.04536554;200.8299;1;0.822936678;2;4217.4279;0.303965523
73;6;1962;12;1;3;2;0.36;0.602;0.23;61.84;0.139;53.001;61.19849348;200.44885;0.999622241;0.820098439;1;4209.42585;0.305307282
74;6;1962;12;1;3;2;0.36;0.455;0.207;61.819;0.142;52.993;61.09416297;201.3006;1;0.823242433;1;4227.3126;0.303497173
75;6;1962;12;1;3;2;0.28;0.576;0.207;61.824;0.129;53.005;61.06181002;201.7752;1;0.824649028;1;4237.2792;0.302622969
76;7;1962;12;1;3;2;0.24;0.444;0.2;61.801;0.13;52.996;61.28135255;202.52935;0.999797848;0.823228836;1;4961.969075;0.302580108
77;6;1962;12;1;3;2;0.24;0.5;0.222;61.819;0.14;53.009;60.34716542;194.90575;0.991111533;0.820087859;2;4093.02075;0.309622294
78;7;1962;12;1;3;2;0.2;0.394;0.212;61.791;0.127;52.999;60.20651068;194.25055;0.991908501;0.820620955;2;4759.138475;0.309942549
79;6;1962;12;1;3;2;0.32;0.542;0.266;61.813;0.145;53.01;69.70500437;222.4388;0.886658987;0.758483688;2;4671.2148;0.313367112
80;7;1962;12;1;3;2;0.44;0.442;0.21;61.788;0.153;53.002;69.42419414;225.7387;0.915251014;0.767179686;2;5530.59815;0.307542278
81;6;1960;10;1;3;8;0.28;0.448;0.187;61.843;0.177;53.033;60.81643127;200.0732;1;0.824476837;1;4201.5372;0.303970903
82;6;1960;10;1;3;8;0.36;0.477;0.175;61.845;0.172;53.035;60.4328493;197.3055;1;0.823951136;2;4143.4155;0.306290749
83;6;1960;10;1;3;8;0.48;0.535;0.162;61.843;0.163;53.037;70.73898846;242.10155;0.876257078;0.779731127;2;5084.13255;0.29218726
84;7;1960;10;1;3;8;0.44;0.538;0.155;61.829;0.159;53.033;65.69729003;253.5278;0.999746246;0.859152524;2;6211.4311;0.25913249
85;7;1960;10;1;3;8;0.36;0.531;0.149;61.801;0.155;53.022;67.75738933;265.8064;0.999879438;0.852964555;1;6512.2568;0.254912558
86;1;1969;0;3;3;8;0.52;0.633;0.369;61.815;0.157;53.012;28.01565744;59.20725;0.999999156;0.973624645;0;207.225375;0.473179508
87;1;1982;0;3;3;8;0.24;0.46;0.195;61.838;0.176;53.029;33.18163495;65.5239;0.979440742;0.864782755;0;229.33365;0.506405067
88;1;1982;0;3;3;8;0.36;0.695;0.153;61.785;0.168;53.01;33.48246805;66.55085;0.978446517;0.86370269;0;232.927975;0.50311105
89;1;1982;0;3;3;8;0.32;0.569;0.155;61.777;0.159;53.01;124.1345777;779.47535;0.992043041;0.79728456;0;2728.163725;0.159254013
90;10;1979;21;1;4;2;0.32;0.513;0.198;61.884;0.128;52.989;111.5091251;761.86355;1;0.877471706;1;26665.22425;0.146363644
91;10;1979;21;1;4;2;0.2;0.475;0.242;61.866;0.116;52.979;99.52414159;616.6686;1;0.884509311;2;21583.401;0.161389994
92;10;1979;21;1;4;2;0.36;0.659;0.209;61.85;0.137;52.971;121.141991;868.8765;1;0.862559873;1;30410.6775;0.139423717
93;4;2004;0;3;4;4;0.4;0.7;0.166;61.859;0.132;53.013;232.7220101;1366.04915;0.879194354;0.562989941;0;19124.6881;0.170361374
